CustomerID,Cluster
C0001,0
C0002,2
C0003,7
C0004,1
C0005,2
C0006,7
C0007,2
C0008,4
C0009,2
C0010,2
C0011,0
C0012,6
C0013,1
C0014,5
C0015,5
C0016,0
C0017,4
C0018,6
C0019,0
C0020,5
C0021,1
C0022,6
C0023,6
C0024,4
C0025,2
C0026,7
C0027,7
C0028,1
C0029,2
C0030,0
C0031,2
C0032,2
C0033,5
C0034,0
C0035,7
C0036,2
C0037,6
C0038,0
C0039,6
C0040,7
C0041,1
C0042,2
C0043,2
C0044,7
C0045,1
C0046,1
C0047,4
C0048,0
C0049,4
C0050,7
C0051,1
C0052,2
C0053,6
C0054,1
C0055,0
C0056,0
C0057,6
C0058,5
C0059,1
C0060,5
C0061,2
C0062,2
C0063,5
C0064,6
C0065,3
C0066,7
C0067,6
C0068,1
C0069,0
C0070,7
C0071,2
C0072,0
C0073,2
C0074,7
C0075,1
C0076,0
C0077,2
C0078,5
C0079,7
C0080,5
C0081,0
C0082,1
C0083,2
C0084,4
C0085,2
C0086,0
C0087,1
C0088,0
C0089,2
C0090,4
C0091,0
C0092,7
C0093,1
C0094,2
C0095,5
C0096,6
C0097,5
C0098,4
C0099,1
C0100,6
C0101,1
C0102,1
C0103,0
C0104,1
C0105,6
C0106,0
C0107,0
C0108,1
C0109,3
C0110,5
C0111,0
C0112,2
C0113,1
C0114,6
C0115,7
C0116,0
C0117,7
C0118,0
C0119,0
C0120,2
C0121,2
C0122,1
C0123,5
C0124,4
C0125,7
C0126,6
C0127,0
C0128,5
C0129,2
C0130,5
C0131,2
C0132,2
C0133,7
C0134,0
C0135,7
C0136,6
C0137,0
C0138,6
C0139,4
C0140,5
C0141,3
C0142,2
C0143,1
C0144,5
C0145,1
C0146,7
C0147,4
C0148,6
C0149,6
C0150,5
C0151,5
C0152,0
C0153,6
C0154,0
C0155,1
C0156,3
C0157,0
C0158,7
C0159,2
C0160,0
C0161,4
C0162,4
C0163,6
C0164,0
C0165,1
C0166,7
C0167,2
C0168,7
C0169,6
C0170,6
C0171,6
C0172,0
C0173,1
C0174,0
C0175,3
C0176,2
C0177,7
C0178,7
C0179,0
C0181,0
C0182,6
C0183,0
C0184,0
C0185,7
C0186,2
C0187,6
C0188,1
C0189,0
C0190,0
C0191,0
C0192,2
C0193,7
C0194,4
C0195,6
C0196,7
C0197,2
C0198,5
C0199,2
C0200,6
